Grocery Flyer Deals for Super C in Montreal
==================================================

- **plateau de légumes ou de fruits Sun Rich | Sun Rich vegetable or fruit tray**: $9.99
- **PIZZA CROÛTE MINCE RISTORANTE| RISTORANTE THIN CRUST PIZZA**: $3.47
- **Bull's Eye barbecue sauce | Bull's Eye barbecue sauce**: $2.99
- **Friandises chocolatées Hershey's | Hershey's chocolate treats**: $2.99
- **fèves au lard Clark | Clark pork and beans**: $1.49
- **laitue en feuilles rouges ou vertes | red or green leaf lettuce**: $2.49
- **crevettes bang bang Irrésistible | Irrésistible bang bang shrimp**: $12.99
- **Collation aux pommes Mieux‑être | Life Smart apple snack**: $1.99
- **Lanières de poitrine de poulet Irrésistible | Irrésistible chicken breast strips**: $6.49
- **Boeuf haché maigre halal | halal lean ground beef**: $8.99
- **cornets tire et beurre d'érable | maple taffy and butter cones**: $6.99
- **Farine Selection**: $3.99
- **barres tendres Selection | Selection chewy bars**: $2.49
- **craquelins de riz Mieux‑être | Life Smart rice crackers**: $1.59
- **B-10 tortilla Selection | Selection tortilla**: $5.99
- **bière Archibald | Goose Island**: $20.99
- **yogourt Activia | Activia yogurt**: $5.97
- **jus de pommes Tradition | Tradition apple juice**: $5.49
- **Fraises | strawberries**: $1.99
- **thé glacé Fuze, Peace Tea | Iced Tea**: $7.49
- **CITRONS CHOIX | CHOICE LEMONS PRODUIT DES É.-U. ET/OU IMPORTÉS DE L'AFRIQUE DU SUD ET/OU DE L'ÉGYPTE, 2 lb OU LIMES | LIMES IMPORTÉES DU MEXIQUE, 1 lb**: $2.99
- **Pommes de terre Russet, rouges ou à chair jaune | Russet, red or yellow fleshed potatoes**: $1.99
- **pommes Spartan, Empire ou Russet | Spartan, Empire or Russet apples**: $2.88
- **Bière Bud Light, Coors Light | beer**: $67.48
- **capsules de café Van Houtte | Van Houtte coffee capsules**: $19.88
- **fromage Selection | Selection cheese**: $2.99
- **Croustilles Lay's | Lay's potato chips**: $2.77
- **filet de morue du Pacifique ou filet d'aiglefin frais | fresh Pacific cod fillet or haddock fillet**: $9.99
- **Côtes de dos de porc cuites St‑Hubert | St-Hubert cooked pork back ribs**: $8.99
